Listing Position,Title,Brand,MRP,Price,Average Rating Score,Count of Ratings,Count of Reviews,Product URL,Image_url
1,Croma 109 cm (43 inch) 4K Ultra HD LED Google TV with Dolby Audio (2024 model),Croma,38900.0,17999.0,5.0,6,4,https://www.croma.com/croma-109-cm-43-inch-4k-ultra-hd-led-google-tv-with-dolby-audio-2024-model-/p/307847,https://media.croma.com/image/upload/v1724847985/Croma%20Assets/Entertainment/Television/Images/307847_0_rvvfe6.png
2,Croma 140 cm (55 inch) 4K Ultra HD Google TV with Dolby Audio (2024 model),Croma,76500.0,27990.0,0.0,0,0,https://www.croma.com/croma-140-cm-55-inch-4k-ultra-hd-google-tv-with-dolby-audio-2024-model-/p/307848,https://media.croma.com/image/upload/v1724847997/Croma%20Assets/Entertainment/Television/Images/307848_0_bkmcoi.png
3,SONY Bravia 2 109 cm (43 inch) 4K Ultra HD LED Google TV with Live Colour Technology (2024 model),Sony,59900.0,39990.0,0.0,0,0,https://www.croma.com/sony-bravia-2-109-cm-43-inch-4k-ultra-hd-led-google-tv-with-live-colour-technology-2024-model-/p/308025,https://media.croma.com/image/upload/v1721727525/Croma%20Assets/Entertainment/Television/Images/308025_oea7z1.png
4,TCL V6B 139 cm (55 inch) 4K Ultra HD LED Google TV with Dolby Audio( 2024 Model),Tcl,77990.0,29990.0,0.0,0,0,https://www.croma.com/tcl-v6b-139-cm-55-inch-4k-ultra-hd-led-google-tv-with-dolby-audio-2024-model-/p/307879,https://media.croma.com/image/upload/v1719552026/Croma%20Assets/Entertainment/Television/Images/307879_autys5.png
5,BLAUPUNKT 55QD7020 139 cm (55 inch) QLED 4K Ultra HD Google TV with Quantum Dot Technology (2022 model),Blaupunkt,59999.0,31999.0,5.0,7,6,https://www.croma.com/blaupunkt-55qd7020-139-cm-55-inch-qled-4k-ultra-hd-google-tv-with-quantum-dot-technology-2022-model-/p/303336,https://media.croma.com/image/upload/v1722278459/Croma%20Assets/Entertainment/Television/Images/303336_0_aoag2z.png
6,SAMSUNG Crystal 4K Vivid 164 cm (65 inch) 4K Ultra HD LED Tizen TV with Crystal Processor 4K,Samsung,94900.0,61999.0,0.0,0,0,https://www.croma.com/samsung-crystal-4k-vivid-164-cm-65-inch-4k-ultra-hd-led-tizen-tv-with-crystal-processor-4k/p/305598,https://media.croma.com/image/upload/v1722273542/Croma%20Assets/Entertainment/Television/Images/305598_0_lfn0tz.png
7,TOSHIBA C350NP 127 cm (50 inch) 4K Ultra HD LED Google TV with Regza Engine 4K (2024 model),Toshiba,54999.0,30999.0,0.0,0,0,https://www.croma.com/toshiba-c350np-127-cm-50-inch-4k-ultra-hd-led-google-tv-with-regza-engine-4k-2024-model-/p/307658,https://media.croma.com/image/upload/v1719284096/Croma%20Assets/Entertainment/Television/Images/307658_t12o2h.png
8,TCL P71B Pro 164 cm (65 inch) 4K Ultra HD QLED Google TV with Dolby Vision & Dolby Atmos( 2024 Model),Tcl,128990.0,53990.0,0.0,0,0,https://www.croma.com/tcl-p71b-pro-164-cm-65-inch-4k-ultra-hd-qled-google-tv-with-dolby-vision-dolby-atmos-2024-model-/p/308006,https://media.croma.com/image/upload/v1719648895/Croma%20Assets/Entertainment/Television/Images/308006_yrgykb.png
9,LG UQ7500 139 cm (55 inch) 4K Ultra HD LED WebOS TV with AI Brightness & 4K Upscaling,Lg,71990.0,40990.0,2.1111111111,9,7,https://www.croma.com/lg-uq7500-139-cm-55-inch-4k-ultra-hd-led-webos-tv-with-ai-brightness-4k-upscaling/p/274581,https://media.croma.com/image/upload/v1722274098/Croma%20Assets/Entertainment/Television/Images/274581_0_bqw4jm.png
10,TCL P755 Pro 139.7 cm (55 inch) 4K QLED Smart Google TV with Dolby Atmos (2024 model),Tcl,80990.0,35990.0,0.0,0,0,https://www.croma.com/tcl-p755-pro-139-7-cm-55-inch-4k-qled-smart-google-tv-with-dolby-atmos-2024-model-/p/306519,https://media.croma.com/image/upload/v1724858061/Croma%20Assets/Entertainment/Television/Images/306519_0_t9arga.png
